LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,TS,WS50M,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOT,QV2M,T2MDEW,WS50M_MAX,WS50M_MIN
20.24321,85.84161,2016,4,6,6.5,34.82,6.18,33.22,27.14,41.14,45.43,0.47,14.5,19.07,8.02,3.73
20.24321,85.84161,2016,4,7,6.59,35.49,5.39,33.47,27.4,41.17,42.23,0.2,13.66,18.36,8.49,3.2
20.24321,85.84161,2016,4,8,6.62,34.58,4.58,32.8,28.72,38.83,45.79,0.41,14.25,19.23,8.2,2.16
20.24321,85.84161,2016,4,9,6.72,35.05,6.35,33.15,26.57,41.11,42.58,0.03,13.52,18.06,8.78,4.85
20.24321,85.84161,2016,4,10,6.74,35.96,5.72,33.9,26.79,42.53,39.12,0.07,12.94,17.34,9.38,2.81
20.24321,85.84161,2016,4,11,6.65,36.27,6.22,34.56,27.56,43.14,38.29,0,13.16,17.53,9.19,3.82
20.24321,85.84161,2016,4,12,6.75,36.12,7.19,34.34,27.89,42.73,40.2,0,13.68,17.99,9.03,4.98
20.24321,85.84161,2016,4,13,6.71,35.69,6.71,33.48,27.25,42.19,45.96,0,14.93,19.13,9.14,3.53
20.24321,85.84161,2016,4,14,6.85,35.45,6.34,32.91,27.38,41.19,53.68,0,16.89,21.39,10.31,3.19
20.24321,85.84161,2016,4,15,6.89,35.26,7.17,32.87,27.42,41.06,54.91,0,17.22,21.77,9.53,4.63
20.24321,85.84161,2016,4,16,6.82,34.72,8.54,32.64,27.02,41.25,55.78,0.08,17.29,22.14,11.06,6.61
20.24321,85.84161,2016,4,17,6.53,35.35,8.62,33.25,27.23,42.35,52.62,0.15,16.89,21.72,10.72,6.19
20.24321,85.84161,2016,4,18,6.43,34.74,9.48,33,27.48,41.13,52.31,0.16,16.53,21.6,10.99,8.34
20.24321,85.84161,2016,4,19,6.78,34.96,8.78,32.86,27.24,41.1,49.24,0.02,15.42,20.46,10.51,6.87
20.24321,85.84161,2016,4,20,6.77,34.78,8.4,32.61,26.76,41.11,51.78,0.01,15.99,21.03,10.19,6.34
20.24321,85.84161,2016,4,21,6.78,35.83,8.48,33.73,27.57,42.64,51.35,0.02,16.94,21.88,11.39,6.12
20.24321,85.84161,2016,4,22,6.87,36.35,8.25,34.1,28.51,42.92,50.76,0.01,17.12,21.86,10.97,5.27
20.24321,85.84161,2016,4,23,6.96,36.34,8.63,34.33,28.42,43.38,48.23,0.01,16.5,20.59,11.74,6.63
20.24321,85.84161,2016,4,24,6.93,36.48,6.83,33.71,27.55,42.42,50.22,0,16.59,20.99,9.76,3.16
20.24321,85.84161,2016,4,25,6.87,35.28,7.47,32.94,28.16,40.23,58.94,0.01,18.61,23.54,9.52,5.85
20.24321,85.84161,2016,4,26,6.23,34.63,6.93,32.34,27.91,39.26,61.29,0.21,18.66,23.78,8.74,5.25
20.24321,85.84161,2016,4,27,6.85,36.22,5.81,33.6,27.87,41.7,52.55,0.24,17.18,22.19,8.47,2.51
20.24321,85.84161,2016,4,28,6.84,36.79,5.25,34.19,28.09,42.95,48.45,0.36,16.38,21.29,9.06,1.6
20.24321,85.84161,2016,4,29,5.6,36.27,5.14,33.68,28.61,40.94,50.8,1.4,16.67,21.66,10.05,1.08
20.24321,85.84161,2016,4,30,2.47,36.17,5.67,34.3,28.65,41.81,45.39,2.64,15.41,20.31,8.77,4.39
20.24321,85.84161,2016,5,1,6.4,35.77,7,33.72,27.45,42.04,48.09,0.25,15.83,20.72,10.14,4.98
20.24321,85.84161,2016,5,2,6.91,35.63,7.85,33.76,27.46,42.59,48.38,0.41,15.96,20.6,10.2,6.37
20.24321,85.84161,2016,5,3,6.19,35.87,5.32,33.57,27.34,40.67,50.3,0.46,16.42,21.3,7.31,3.91
20.24321,85.84161,2016,5,4,6.67,36.6,4.83,33.7,28.08,40.59,43.94,0.38,14.41,19.2,9.04,1.16
20.24321,85.84161,2016,5,5,6.72,35.92,4.1,33.11,27.25,40.41,48.48,0.31,15.38,20.32,7.62,1.78
20.24321,85.84161,2016,5,6,6.68,35.9,5.35,33.14,27.46,40.01,49.74,2.07,15.82,20.8,8.44,2.34
20.24321,85.84161,2016,5,7,6.67,34.21,5.19,32.29,27.95,37.85,55.1,4.07,16.71,21.88,7.69,2.13
20.24321,85.84161,2016,5,8,4.61,33.47,5.15,31.51,27.76,36.47,60.24,2.41,17.46,22.74,6.99,3.01
20.24321,85.84161,2016,5,9,6.68,32.29,3.99,30.83,27.49,35.65,63.09,2.56,17.6,22.88,5.97,2.36
20.24321,85.84161,2016,5,10,5.98,33.92,4.96,31.86,27.76,37.55,57.8,2.95,17.09,22.4,6.86,3.08
20.24321,85.84161,2016,5,11,5.72,34.15,3.78,31.92,27.4,37.63,59.12,3.81,17.56,22.86,7.22,1.59
20.24321,85.84161,2016,5,12,6.72,34.58,4.97,32.48,27.77,38.34,59.19,2.11,18.21,23.37,8.78,2.53
20.24321,85.84161,2016,5,13,6.73,35.07,6.56,33.06,28.27,39.73,58.7,1.12,18.66,23.74,9.69,4.84
20.24321,85.84161,2016,5,14,5.97,34.08,7.97,32.34,28.45,37.94,62.6,1.28,19.09,24.21,9.86,6.75
20.24321,85.84161,2016,5,15,6.67,34.69,8.36,32.78,27.9,39.55,58.2,0.39,18.18,23.35,10.24,6.7
20.24321,85.84161,2016,5,16,6.72,34.86,8.7,32.92,28.3,39.47,56.71,0.24,17.87,22.99,10.06,7
20.24321,85.84161,2016,5,17,6.63,34.16,8.84,32.18,28.33,37.86,62.08,0.45,18.78,23.89,9.94,7.31
20.24321,85.84161,2016,5,18,4.71,31.58,6.93,30.41,28.11,33.17,66.49,2.5,18.19,23.42,8.66,4.71
20.24321,85.84161,2016,5,19,2.1,30.59,5.86,29.45,27.37,32.59,76.9,8.51,19.96,24.96,6.84,4.65
