LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
20.24321,85.84161,2011,8,20,5.29
20.24321,85.84161,2011,8,21,5.4
20.24321,85.84161,2011,8,22,4.36
20.24321,85.84161,2011,8,23,5.12
20.24321,85.84161,2011,8,24,5.27
20.24321,85.84161,2011,8,25,3.52
20.24321,85.84161,2011,8,26,3.93
20.24321,85.84161,2011,8,27,4.62
20.24321,85.84161,2011,8,28,3.65
20.24321,85.84161,2011,8,29,3.71
20.24321,85.84161,2011,8,30,3.62
20.24321,85.84161,2011,8,31,3.18
20.24321,85.84161,2011,9,1,2.32
20.24321,85.84161,2011,9,2,3.54
20.24321,85.84161,2011,9,3,2.48
20.24321,85.84161,2011,9,4,2.66
20.24321,85.84161,2011,9,5,2.18
20.24321,85.84161,2011,9,6,3.3
20.24321,85.84161,2011,9,7,3.51
20.24321,85.84161,2011,9,8,3.06
20.24321,85.84161,2011,9,9,3.17
20.24321,85.84161,2011,9,10,5.51
20.24321,85.84161,2011,9,11,5.09
20.24321,85.84161,2011,9,12,5.39
20.24321,85.84161,2011,9,13,5.33
20.24321,85.84161,2011,9,14,1.96
20.24321,85.84161,2011,9,15,4.12
20.24321,85.84161,2011,9,16,4.21
20.24321,85.84161,2011,9,17,5.28
20.24321,85.84161,2011,9,18,3.53
20.24321,85.84161,2011,9,19,4.37
20.24321,85.84161,2011,9,20,5.57
20.24321,85.84161,2011,9,21,1.51
20.24321,85.84161,2011,9,22,1.94
20.24321,85.84161,2011,9,23,4.28
20.24321,85.84161,2011,9,24,4.4
20.24321,85.84161,2011,9,25,6.17
20.24321,85.84161,2011,9,26,5.93
20.24321,85.84161,2011,9,27,6.16
20.24321,85.84161,2011,9,28,6.22
20.24321,85.84161,2011,9,29,6.11
20.24321,85.84161,2011,9,30,6.07
20.24321,85.84161,2011,10,1,6.3
20.24321,85.84161,2011,10,2,6.23
20.24321,85.84161,2011,10,3,6.18
20.24321,85.84161,2011,10,4,6.15
20.24321,85.84161,2011,10,5,5.96
20.24321,85.84161,2011,10,6,5.19
20.24321,85.84161,2011,10,7,5.64
20.24321,85.84161,2011,10,8,5.05
20.24321,85.84161,2011,10,9,5.04
20.24321,85.84161,2011,10,10,5.38
20.24321,85.84161,2011,10,11,5.67
20.24321,85.84161,2011,10,12,5.7
20.24321,85.84161,2011,10,13,5.55
20.24321,85.84161,2011,10,14,5.58
20.24321,85.84161,2011,10,15,5.97
20.24321,85.84161,2011,10,16,5.86
20.24321,85.84161,2011,10,17,5.89
20.24321,85.84161,2011,10,18,5.05
20.24321,85.84161,2011,10,19,5.34
20.24321,85.84161,2011,10,20,4.61
20.24321,85.84161,2011,10,21,3.74
20.24321,85.84161,2011,10,22,4.88
20.24321,85.84161,2011,10,23,5.67
20.24321,85.84161,2011,10,24,5.61
20.24321,85.84161,2011,10,25,5.37
20.24321,85.84161,2011,10,26,4.95
20.24321,85.84161,2011,10,27,5.73
20.24321,85.84161,2011,10,28,5.65
20.24321,85.84161,2011,10,29,5.69
20.24321,85.84161,2011,10,30,5.68
20.24321,85.84161,2011,10,31,5.61
20.24321,85.84161,2011,11,1,5.32
20.24321,85.84161,2011,11,2,5.56
20.24321,85.84161,2011,11,3,5.53
20.24321,85.84161,2011,11,4,5.49
20.24321,85.84161,2011,11,5,5.41
20.24321,85.84161,2011,11,6,5.54
20.24321,85.84161,2011,11,7,5.43
20.24321,85.84161,2011,11,8,5.32
20.24321,85.84161,2011,11,9,5.43
20.24321,85.84161,2011,11,10,5.38
20.24321,85.84161,2011,11,11,5.36
20.24321,85.84161,2011,11,12,5.21
20.24321,85.84161,2011,11,13,5.06
20.24321,85.84161,2011,11,14,4.54
20.24321,85.84161,2011,11,15,4.66
20.24321,85.84161,2011,11,16,5.2
20.24321,85.84161,2011,11,17,5.19
20.24321,85.84161,2011,11,18,5.21
20.24321,85.84161,2011,11,19,5.14
20.24321,85.84161,2011,11,20,5.07
20.24321,85.84161,2011,11,21,4.89
20.24321,85.84161,2011,11,22,4.96
20.24321,85.84161,2011,11,23,4.78
20.24321,85.84161,2011,11,24,4.88
20.24321,85.84161,2011,11,25,4.92
20.24321,85.84161,2011,11,26,4.76
20.24321,85.84161,2011,11,27,4.91
20.24321,85.84161,2011,11,28,4.55
20.24321,85.84161,2011,11,29,4.71
20.24321,85.84161,2011,11,30,4.9
20.24321,85.84161,2011,12,1,4.48
20.24321,85.84161,2011,12,2,4.53
20.24321,85.84161,2011,12,3,4.44
20.24321,85.84161,2011,12,4,4.82
20.24321,85.84161,2011,12,5,4.76
20.24321,85.84161,2011,12,6,4.83
20.24321,85.84161,2011,12,7,4.85
20.24321,85.84161,2011,12,8,4.85
20.24321,85.84161,2011,12,9,4.89
20.24321,85.84161,2011,12,10,4.75
20.24321,85.84161,2011,12,11,4.68
20.24321,85.84161,2011,12,12,4.51
20.24321,85.84161,2011,12,13,4.38
20.24321,85.84161,2011,12,14,4.64
20.24321,85.84161,2011,12,15,4.58
20.24321,85.84161,2011,12,16,4.77
20.24321,85.84161,2011,12,17,4.62
20.24321,85.84161,2011,12,18,4.9
20.24321,85.84161,2011,12,19,4.62
20.24321,85.84161,2011,12,20,4.86
20.24321,85.84161,2011,12,21,4.84
20.24321,85.84161,2011,12,22,4.95
20.24321,85.84161,2011,12,23,4.84
20.24321,85.84161,2011,12,24,4.5
20.24321,85.84161,2011,12,25,4.91
20.24321,85.84161,2011,12,26,4.89
20.24321,85.84161,2011,12,27,3.76
20.24321,85.84161,2011,12,28,2.39
20.24321,85.84161,2011,12,29,3.02
20.24321,85.84161,2011,12,30,4.15
20.24321,85.84161,2011,12,31,3.1
20.24321,85.84161,2012,1,1,3.75
20.24321,85.84161,2012,1,2,4.55
20.24321,85.84161,2012,1,3,4.3
20.24321,85.84161,2012,1,4,3.45
20.24321,85.84161,2012,1,5,4.05
20.24321,85.84161,2012,1,6,3.87
20.24321,85.84161,2012,1,7,3.71
20.24321,85.84161,2012,1,8,3.75
20.24321,85.84161,2012,1,9,3.14
20.24321,85.84161,2012,1,10,0.86
20.24321,85.84161,2012,1,11,4.01
20.24321,85.84161,2012,1,12,5.02
20.24321,85.84161,2012,1,13,5.29
20.24321,85.84161,2012,1,14,5.25
20.24321,85.84161,2012,1,15,5.16
20.24321,85.84161,2012,1,16,5.14
20.24321,85.84161,2012,1,17,5.18
20.24321,85.84161,2012,1,18,5.11
20.24321,85.84161,2012,1,19,4.98
20.24321,85.84161,2012,1,20,5.03
20.24321,85.84161,2012,1,21,5.13
20.24321,85.84161,2012,1,22,5.29
20.24321,85.84161,2012,1,23,5.28
20.24321,85.84161,2012,1,24,5.24
20.24321,85.84161,2012,1,25,4.93
20.24321,85.84161,2012,1,26,5.01
20.24321,85.84161,2012,1,27,3.84
20.24321,85.84161,2012,1,28,5.01
20.24321,85.84161,2012,1,29,4.19
20.24321,85.84161,2012,1,30,5.21
20.24321,85.84161,2012,1,31,5.25
20.24321,85.84161,2012,2,1,5.38
20.24321,85.84161,2012,2,2,5.49
20.24321,85.84161,2012,2,3,5.56
20.24321,85.84161,2012,2,4,5.55
20.24321,85.84161,2012,2,5,5.54
20.24321,85.84161,2012,2,6,5.65
20.24321,85.84161,2012,2,7,5.56
20.24321,85.84161,2012,2,8,5.37
20.24321,85.84161,2012,2,9,5.51
20.24321,85.84161,2012,2,10,5.16
20.24321,85.84161,2012,2,11,4.56
20.24321,85.84161,2012,2,12,5.26
20.24321,85.84161,2012,2,13,5.13
20.24321,85.84161,2012,2,14,5.49
20.24321,85.84161,2012,2,15,5.64
20.24321,85.84161,2012,2,16,5.46
20.24321,85.84161,2012,2,17,5.74
20.24321,85.84161,2012,2,18,5.8
20.24321,85.84161,2012,2,19,5.29
20.24321,85.84161,2012,2,20,6.11
20.24321,85.84161,2012,2,21,6.12
20.24321,85.84161,2012,2,22,6.23
20.24321,85.84161,2012,2,23,6.27
20.24321,85.84161,2012,2,24,6.34
20.24321,85.84161,2012,2,25,6.3
20.24321,85.84161,2012,2,26,6.31
20.24321,85.84161,2012,2,27,6.34
20.24321,85.84161,2012,2,28,6.28
20.24321,85.84161,2012,2,29,6.44
